ii  firmware-nvidia-graphics                            20250410-2                               all          Binary firmware for Nvidia GPU chips
ii  firmware-nvidia-gsp                                 550.163.01-1                             amd64        NVIDIA GSP firmware
ii  glx-alternative-nvidia                              1.2.2                                    amd64        allows the selection of NVIDIA as GLX provider
ii  libcuda1:amd64                                      550.163.01-1                             amd64        NVIDIA CUDA Driver Library
ii  libegl-nvidia0:amd64                                550.163.01-1                             amd64        NVIDIA binary EGL library
ii  libgl1-nvidia-glvnd-glx:amd64                       550.163.01-1                             amd64        NVIDIA binary OpenGL/GLX library (GLVND variant)
ii  libgles-nvidia1:amd64                               550.163.01-1                             amd64        NVIDIA binary OpenGL|ES 1.x library
ii  libgles-nvidia2:amd64                               550.163.01-1                             amd64        NVIDIA binary OpenGL|ES 2.x library
ii  libglx-nvidia0:amd64                                550.163.01-1                             amd64        NVIDIA binary GLX library
ii  libnvcuvid1:amd64                                   550.163.01-1                             amd64        NVIDIA CUDA Video Decoder runtime library
ii  libnvidia-allocator1:amd64                          550.163.01-1                             amd64        NVIDIA allocator runtime library
ii  libnvidia-cfg1:amd64                                550.163.01-1                             amd64        NVIDIA binary OpenGL/GLX configuration library
ii  libnvidia-egl-gbm1:amd64                            1.1.2.1-1                                amd64        GBM EGL external platform library for NVIDIA
ii  libnvidia-egl-wayland1:amd64                        1:1.1.18-1                               amd64        Wayland EGL External Platform library -- shared library
ii  libnvidia-eglcore:amd64                             550.163.01-1                             amd64        NVIDIA binary EGL core libraries
ii  libnvidia-encode1:amd64                             550.163.01-1                             amd64        NVENC Video Encoding runtime library
ii  libnvidia-glcore:amd64                              550.163.01-1                             amd64        NVIDIA binary OpenGL/GLX core libraries
ii  libnvidia-glvkspirv:amd64                           550.163.01-1                             amd64        NVIDIA binary Vulkan Spir-V compiler library
ii  libnvidia-gpucomp:amd64                             550.163.01-1                             amd64        NVIDIA binary GPU compiler library
ii  libnvidia-ml1:amd64                                 550.163.01-1                             amd64        NVIDIA Management Library (NVML) runtime library
ii  libnvidia-pkcs11-openssl3:amd64                     550.163.01-1                             amd64        NVIDIA PKCS #11 Library (OpenSSL 3)
ii  libnvidia-ptxjitcompiler1:amd64                     550.163.01-1                             amd64        NVIDIA PTX JIT Compiler library
ii  libnvidia-rtcore:amd64                              550.163.01-1                             amd64        NVIDIA binary Vulkan ray tracing (rtcore) library
ii  nvidia-alternative                                  550.163.01-1                             amd64        allows the selection of NVIDIA as GLX provider
ii  nvidia-driver                                       550.163.01-1                             amd64        NVIDIA metapackage
ii  nvidia-driver-bin                                   550.163.01-1                             amd64        NVIDIA driver support binaries
ii  nvidia-driver-libs:amd64                            550.163.01-1                             amd64        NVIDIA metapackage (OpenGL/GLX/EGL/GLES libraries)
ii  nvidia-egl-common                                   550.163.01-1                             amd64        NVIDIA binary EGL driver - common files
ii  nvidia-egl-icd:amd64                                550.163.01-1                             amd64        NVIDIA EGL installable client driver (ICD)
ii  nvidia-installer-cleanup                            20240109+1                               amd64        cleanup after driver installation with the nvidia-installer
ii  nvidia-kernel-common                                20240109+1                               amd64        NVIDIA binary kernel module support files
ii  nvidia-kernel-dkms                                  550.163.01-1                             amd64        NVIDIA binary kernel module DKMS source
ii  nvidia-kernel-support                               550.163.01-1                             amd64        NVIDIA binary kernel module support files
ii  nvidia-legacy-check                                 550.163.01-1                             amd64        check for NVIDIA GPUs requiring a legacy driver
ii  nvidia-modprobe                                     570.133.07-1                             amd64        utility to load NVIDIA kernel modules and create device nodes
ii  nvidia-persistenced                                 550.163.01-1                             amd64        daemon to maintain persistent software state in the NVIDIA driver
ii  nvidia-settings                                     550.163.01-1                             amd64        tool for configuring the NVIDIA graphics driver
ii  nvidia-smi                                          550.163.01-1                             amd64        NVIDIA System Management Interface
ii  nvidia-support                                      20240109+1                               amd64        NVIDIA binary graphics driver support files
ii  nvidia-suspend-common                               550.163.01-1                             amd64        NVIDIA driver - systemd power management scripts
ii  nvidia-vdpau-driver:amd64                           550.163.01-1                             amd64        Video Decode and Presentation API for Unix - NVIDIA driver
ii  nvidia-vulkan-common                                550.163.01-1                             amd64        NVIDIA Vulkan driver - common files
ii  nvidia-vulkan-icd:amd64                             550.163.01-1                             amd64        NVIDIA Vulkan installable client driver (ICD)
ii  xserver-xorg-video-nvidia                           550.163.01-1                             amd64        NVIDIA binary Xorg driver
